property_type,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming_pool,garden,air_conditioning,heating,price_cheap_city,price_cheap_neigh,price_cheap_property,log_price
Penthouse,Les Corts,5,500000.0,85,3,2,0,1956.0,1,1,0,0,1,1,1,0,0,1,1,3.086356414343004,7.1237893952033104,3.0305791993286255,13.122363377404328
Flat / apartment,Les Corts,5,320000.0,63,2,1,1,1967.0,1,1,0,0,1,0,0,0,0,1,1,3.086356414343004,7.1237893952033104,2.0306348219860992,12.676076274775909
Flat / apartment,Les Corts,5,565000.0,92,3,2,8,1974.0,1,1,0,0,1,1,0,0,0,0,0,3.086356414343004,7.1237893952033104,2.0306348219860992,13.244581010128577
Flat / apartment,Les Corts,5,320000.0,63,2,1,1,1967.0,0,1,0,0,1,0,0,0,0,0,1,3.086356414343004,7.1237893952033104,2.0306348219860992,12.676076274775909
Flat / apartment,Les Corts,5,460000.0,79,2,1,3,2010.0,1,1,0,0,1,0,1,0,0,0,1,3.086356414343004,7.1237893952033104,2.0306348219860992,13.038981768465277
Detached house,Les Corts,5,995000.0,136,2,3,2,1968.2851063829787,0,0,1,0,1,0,0,0,0,1,1,3.086356414343004,7.1237893952033104,4.819513954361332,13.81049801614073
Flat / apartment,Les Corts,5,350000.0,69,3,1,1,1974.0,1,1,0,0,1,0,0,0,0,0,1,3.086356414343004,7.1237893952033104,2.0306348219860992,12.765688433465597
Flat / apartment,Les Corts,5,424000.0,76,2,2,1,1968.2851063829787,1,1,1,0,1,0,0,0,0,1,0,3.086356414343004,7.1237893952033104,2.0306348219860992,12.957488734214095
Flat / apartment,Les Corts,5,389200.0,96,3,2,4,1976.0,1,1,0,0,1,0,0,0,0,0,1,3.086356414343004,7.1237893952033104,2.0306348219860992,12.871848629293988
Flat / apartment,Verdun,5,185000.0,62,2,2,2,1972.0,1,0,0,1,1,0,0,0,0,0,1,3.086356414343004,1.6693961900168797,2.0306348219860992,12.128111104060462
Flat / apartment,Verdun,5,57090.0,47,3,1,0,1974.8333333333333,1,0,0,0,1,0,0,0,0,0,1,3.086356414343004,1.6693961900168797,2.0306348219860992,10.952384248958305
Flat / apartment,Nou Barris,5,82300.0,53,1,1,1,1971.581818181818,0,0,0,0,1,0,0,0,0,0,1,3.086356414343004,1.827804765125539,2.0306348219860992,11.318126386665162
Flat / apartment,Verdun,5,160000.0,48,2,1,4,1974.8333333333333,1,0,0,0,1,0,0,0,0,0,1,3.086356414343004,1.6693961900168797,2.0306348219860992,11.982929094215963
Penthouse,El Camp de l'Arpa del Clot,5,440000.0,71,2,1,4,2011.0,1,1,1,0,1,0,1,0,0,1,1,3.086356414343004,3.3040427159047847,3.0305791993286255,12.994530005894443
Duplex,El Camp de l'Arpa del Clot,5,446000.0,91,3,2,7,1973.0,0,1,1,0,1,1,0,0,0,1,1,3.086356414343004,3.3040427159047847,2.866960588752642,13.008074231002201
Flat / apartment,Sant Martí,5,350000.0,90,4,1,3,1959.0,1,1,0,1,1,0,0,0,0,0,1,3.086356414343004,4.371079205477762,2.0306348219860992,12.765688433465597
Penthouse,El Camp de l'Arpa del Clot,5,448000.0,125,3,1,4,1964.0,1,1,1,0,1,0,0,0,0,1,1,3.086356414343004,3.3040427159047847,3.0305791993286255,13.012548511397123
Flat / apartment,El Camp de l'Arpa del Clot,5,400000.0,107,3,2,2,1945.0,1,1,0,1,1,0,0,0,0,0,1,3.086356414343004,3.3040427159047847,2.0306348219860992,12.89921982609012
