property_type,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming_pool,garden,air_conditioning,heating,price_cheap_city,price_cheap_neigh,price_cheap_property
Flat / apartment,La Torrasa,Hospitalet de Llobregat,119000.0,48,1,1,4,1962.1904761904761,1,0,0,0,1,1,0,0,0,0,1,1.1163479984144167,1.9994470312779546,2.0306348219860992
Duplex,Centre,Hospitalet de Llobregat,215000.0,96,1,1,0,2005.0,1,1,0,0,1,0,0,0,0,0,1,1.1163479984144167,3.140219810596927,2.866960588752642
Flat / apartment,La Florida - Les Planes,Hospitalet de Llobregat,74800.0,46,2,1,1,1967.857142857143,0,0,0,0,1,0,0,0,0,0,1,1.1163479984144167,1.1906601320394425,2.0306348219860992
Flat / apartment,La Torrasa,Hospitalet de Llobregat,157000.0,65,2,1,2,1962.1904761904761,1,0,0,0,1,1,0,0,0,1,1,1.1163479984144167,1.9994470312779546,2.0306348219860992
Flat / apartment,Pubilla Cases,Hospitalet de Llobregat,75000.0,64,2,1,3,1945.0,1,0,0,0,1,1,0,0,0,0,1,1.1163479984144167,1.6744193502422342,2.0306348219860992
Flat / apartment,Bellvitge,Hospitalet de Llobregat,148500.0,74,3,1,0,1969.0,1,0,0,0,1,1,0,0,0,0,0,1.1163479984144167,1.8987843799202826,2.0306348219860992
Flat / apartment,La Florida - Les Planes,Hospitalet de Llobregat,128500.0,69,3,1,1,1967.857142857143,0,0,0,0,1,0,0,0,0,0,1,1.1163479984144167,1.1906601320394425,2.0306348219860992
Penthouse,Collblanc,Hospitalet de Llobregat,112000.0,45,3,1,6,1964.0,1,0,1,0,1,0,0,0,0,1,1,1.1163479984144167,2.0489907200696966,3.0305791993286255
Flat / apartment,Bellvitge,Hospitalet de Llobregat,108000.0,68,3,1,0,1975.6363636363637,0,0,0,0,1,0,0,0,0,0,1,1.1163479984144167,1.8987843799202826,2.0306348219860992
Flat / apartment,La Florida - Les Planes,Hospitalet de Llobregat,81900.0,42,3,1,1,1967.857142857143,0,0,0,0,1,0,0,0,0,0,1,1.1163479984144167,1.1906601320394425,2.0306348219860992
Flat / apartment,La Florida - Les Planes,Hospitalet de Llobregat,92500.0,68,3,2,2,1967.857142857143,0,0,0,0,1,0,0,0,0,0,1,1.1163479984144167,1.1906601320394425,2.0306348219860992
